movie_id,title,genre,imdb
tt0265666,The Royal Tenenbaums,"Comedy,Drama",7.6
tt0266308,Battle Royale,"Action,Drama,Thriller",7.5
tt0266437,Demobbed,Comedy,7.4
tt0266543,Finding Nemo,"Adventure,Animation,Comedy",8.2
tt0266697,Kill Bill: Vol. 1,"Action,Crime,Thriller",8.2
tt0266987,Spy Game,"Action,Crime,Thriller",7.1
tt0267363,Chandni Bar,"Crime,Drama",7.6
tt0268126,Adaptation.,"Comedy,Drama",7.7
tt0268380,Ice Age,"Adventure,Animation,Comedy",7.5
tt0268690,13 Conversations About One Thing,Drama,7.0
tt0268896,Edge of Night,"Drama,Music,Romance",7.2
tt0268978,A Beautiful Mind,"Biography,Drama,Mystery",8.2
tt0269746,What Time Is It There?,"Drama,Romance",7.3
tt0269856,Ritual,Drama,7.5
tt0270053,Vizontele,"Comedy,Drama,History",8.0
tt0270288,Confessions of a Dangerous Mind,"Biography,Comedy,Crime",7.0
tt0270321,Dr. Babasaheb Ambedkar,"Biography,History",8.8
tt0270919,Ditto,"Drama,Romance,Sci-Fi",7.0
tt0271029,Come Sweet Death,"Comedy,Mystery,Thriller",7.5
tt0271211,Stoked: The Rise and Fall of Gator,"Documentary,Sport",7.2
tt0271383,A Dog's Will,"Comedy,Drama,Fantasy",8.6
tt0271580,Jet Boy,Drama,7.1
tt0272020,The Last Castle,"Action,Drama,Thriller",7.0
tt0272152,K-PAX,"Drama,Mystery,Sci-Fi",7.4
tt0272207,Narc,"Crime,Drama,Mystery",7.1
tt0272338,Punch-Drunk Love,"Comedy,Drama,Romance",7.3
tt0273108,The Beautiful Country,Drama,7.4
tt0273148,The Officer's Ward,"Drama,Romance,War",7.4
tt0273300,Jump Tomorrow,"Comedy,Drama,Romance",7.1
tt0273840,Moscow Square,"Comedy,Drama,Romance",7.8
tt0273870,Narasimham,"Action,Drama",7.6
tt0274117,Read My Lips,"Crime,Drama,Romance",7.3
tt0274309,24 Hour Party People,"Biography,Comedy,Drama",7.3
tt0274497,The Ignorant Fairies,"Drama,Romance",7.3
tt0274558,The Hours,"Drama,Romance",7.5
tt0274716,Sherina's Adventure,"Adventure,Comedy,Drama",7.8
tt0275083,The Warrior,"Action,Drama,History",7.1
tt0275277,Cowboy Bebop: The Movie - Knockin' on Heaven's Door,"Action,Animation,Crime",7.8
tt0275309,Dogtown and Z-Boys,"Documentary,Sport",7.6
tt0275491,Bad Education,"Crime,Drama",7.4
tt0275719,Tape,Drama,7.2
tt0275847,Lilo & Stitch,"Adventure,Animation,Comedy",7.4
tt0276501,Beijing Bicycle,Drama,7.2
tt0276515,Southern Comfort,Documentary,7.6
tt0276617,The White Sound,Drama,7.1
tt0276751,About a Boy,"Comedy,Drama,Romance",7.1
tt0276820,Berlin Is in Germany,Drama,7.1
tt0276919,Dogville,"Crime,Drama",8.0
tt0277027,I Am Sam,Drama,7.6
